"Date","Link","Transaction","Month-Year"
"12/18/15","http://m.nationals.mlb.com/player/444836/aaron-laffey","Washington Nationals signed free agent LHP Aaron Laffey to a minor league contract and invited him to spring training.","2015-12"
"10/1/16","http://m.nationals.mlb.com/player/595918/aj-cole","RHP A.J. Cole roster status changed by Washington Nationals.","2016-10"
"10/1/16","http://m.nationals.mlb.com/player/628450/yadiel-hernandez","Washington Nationals signed free agent OF Yadiel Hernandez to a minor league contract.","2016-10"
"10/3/16","http://m.nationals.mlb.com/player/595918/aj-cole","Washington Nationals activated RHP A.J. Cole.","2016-10"
"10/7/16","http://m.nationals.mlb.com/player/594840/matt-grace","Washington Nationals reassigned LHP Matt Grace to the minor leagues.","2016-10"
"10/7/16","http://m.nationals.mlb.com/player/641627/trevor-gott","Washington Nationals reassigned RHP Trevor Gott to the minor leagues.","2016-10"
"10/7/16","http://m.nationals.mlb.com/player/608337/lucas-giolito","Washington Nationals reassigned RHP Lucas Giolito to the minor leagues.","2016-10"
"10/7/16","http://m.nationals.mlb.com/player/606983/koda-glover","Washington Nationals reassigned RHP Koda Glover to the minor leagues.","2016-10"
"10/7/16","http://m.nationals.mlb.com/player/502009/mat-latos","Washington Nationals reassigned RHP Mat Latos to the minor leagues.","2016-10"
"10/7/16","http://m.nationals.mlb.com/player/544931/stephen-strasburg","Washington Nationals reassigned RHP Stephen Strasburg to the minor leagues.","2016-10"
"10/7/16","http://m.nationals.mlb.com/player/433589/yusmeiro-petit","Washington Nationals reassigned RHP Yusmeiro Petit to the minor leagues.","2016-10"
"10/7/16","http://m.nationals.mlb.com/player/571851/spencer-kieboom","Washington Nationals reassigned C Spencer Kieboom to the minor leagues.","2016-10"
"10/7/16","http://m.nationals.mlb.com/player/467092/wilson-ramos","Washington Nationals reassigned C Wilson Ramos to the minor leagues.","2016-10"
"10/7/16","http://m.nationals.mlb.com/player/514669/rafael-martin","Washington Nationals reassigned RHP Rafael Martin to the minor leagues.","2016-10"
"10/7/16","http://m.nationals.mlb.com/player/571718/brian-goodwin","Washington Nationals reassigned CF Brian Goodwin to the minor leagues.","2016-10"
"10/7/16","http://m.nationals.mlb.com/player/430634/sean-burnett","Washington Nationals activated LHP Sean Burnett.","2016-10"
"10/7/16","http://m.nationals.mlb.com/player/279571/matt-belisle","Washington Nationals reassigned RHP Matt Belisle to the minor leagues.","2016-10"
"10/7/16","http://m.nationals.mlb.com/player/595918/aj-cole","Washington Nationals reassigned RHP A.J. Cole to the minor leagues.","2016-10"
"10/7/16","http://m.nationals.mlb.com/player/519184/ben-revere","Washington Nationals reassigned CF Ben Revere to the minor leagues.","2016-10"
"10/14/16","http://m.nationals.mlb.com/player/502009/mat-latos","Washington Nationals activated RHP Mat Latos.","2016-10"
"10/14/16","http://m.nationals.mlb.com/player/595918/aj-cole","Washington Nationals activated RHP A.J. Cole.","2016-10"
"10/14/16","http://m.nationals.mlb.com/player/544931/stephen-strasburg","Washington Nationals activated RHP Stephen Strasburg.","2016-10"
"10/14/16","http://m.nationals.mlb.com/player/594840/matt-grace","Washington Nationals activated LHP Matt Grace.","2016-10"
"10/14/16","http://m.nationals.mlb.com/player/514669/rafael-martin","Washington Nationals activated RHP Rafael Martin.","2016-10"
"10/14/16","http://m.nationals.mlb.com/player/641627/trevor-gott","Washington Nationals activated RHP Trevor Gott.","2016-10"
"10/14/16","http://m.nationals.mlb.com/player/608337/lucas-giolito","Washington Nationals activated RHP Lucas Giolito.","2016-10"
"10/14/16","http://m.nationals.mlb.com/player/279571/matt-belisle","Washington Nationals activated RHP Matt Belisle.","2016-10"
"10/14/16","http://m.nationals.mlb.com/player/433589/yusmeiro-petit","Washington Nationals activated RHP Yusmeiro Petit.","2016-10"
"10/14/16","http://m.nationals.mlb.com/player/519184/ben-revere","Washington Nationals activated CF Ben Revere.","2016-10"
"10/14/16","http://m.nationals.mlb.com/player/606983/koda-glover","Washington Nationals activated RHP Koda Glover.","2016-10"
"10/14/16","http://m.nationals.mlb.com/player/571718/brian-goodwin","Washington Nationals activated RF Brian Goodwin.","2016-10"
"10/14/16","http://m.nationals.mlb.com/player/571851/spencer-kieboom","Washington Nationals activated C Spencer Kieboom.","2016-10"
"10/14/16","http://m.nationals.mlb.com/player/467092/wilson-ramos","Washington Nationals activated C Wilson Ramos.","2016-10"
"10/16/16","http://m.nationals.mlb.com/player/673395/carlos-romero","Washington Nationals signed free agent RHP Carlos Romero to a minor league contract.","2016-10"
"10/25/16","http://m.nationals.mlb.com/player/502578/aaron-barrett","Washington Nationals activated RHP Aaron Barrett from the 60-day disabled list.","2016-10"
"10/25/16","http://m.nationals.mlb.com/player/502578/aaron-barrett","Washington Nationals sent RHP Aaron Barrett outright to Syracuse Chiefs.","2016-10"
"11/3/16","http://m.nationals.mlb.com/player/430634/sean-burnett","LHP Sean Burnett elected free agency.","2016-11"
"11/3/16","http://m.nationals.mlb.com/player/467092/wilson-ramos","C Wilson Ramos elected free agency.","2016-11"
"11/3/16","http://m.nationals.mlb.com/player/519240/marc-rzepczynski","LHP Marc Rzepczynski elected free agency.","2016-11"
"11/3/16","http://m.nationals.mlb.com/player/502009/mat-latos","RHP Mat Latos elected free agency.","2016-11"
"11/3/16","http://m.nationals.mlb.com/player/279571/matt-belisle","RHP Matt Belisle elected free agency.","2016-11"
"11/3/16","http://m.nationals.mlb.com/player/452220/stephen-drew","2B Stephen Drew elected free agency.","2016-11"
"11/3/16","http://m.nationals.mlb.com/player/502317/chris-heisey","LF Chris Heisey elected free agency.","2016-11"
"11/3/16","http://m.nationals.mlb.com/player/433589/yusmeiro-petit","RHP Yusmeiro Petit elected free agency.","2016-11"
"11/3/16","http://m.nationals.mlb.com/player/453343/mark-melancon","RHP Mark Melancon elected free agency.","2016-11"
"11/10/16","http://m.nationals.mlb.com/player/673145/geraldi-diaz","Washington Nationals signed free agent 1B Geraldi Diaz to a minor league contract.","2016-11"
"11/18/16","http://m.nationals.mlb.com/player/592530/jose-marmolejos","Washington Nationals selected the contract of 1B Jose Marmolejos from Harrisburg Senators.","2016-11"
"11/18/16","http://m.nationals.mlb.com/player/600466/raudy-read","Washington Nationals selected the contract of C Raudy Read from Potomac Nationals.","2016-11"
